Source,Target
一,左
一,三
一,正
一,天
一,二
一,百
一,本
一,右
一,夏
一,画
一,元
一,首
一,西
一,同
一,寒
一,具
一,事
一,着
一,丁
一,定
一,面
一,様
一,両
一,観
一,差
一,司
一,末
一,未
一,興
一,妻
一,再
一,在
一,制
一,武
一,貴
一,勤
一,后
一,冊
一,至
一,専
一,存
一,拝
一,覧
一,監
一,恵
一,遣
一,互
一,更
一,獣
一,是
一,弐
一,麗
一,衰
一,吏
一,霊
一,亜
一,呉
一,甚
一,斉
一,喪
一,曹
一,賓
一,丙
一,畏
一,釜
一,塞
一,旦
一,寅
一,淵
一,其
一,徽
一,亙
一,亘
一,爾
一,而
一,丞
一,嚢
一,鳳
一,輿
一,婁
一,或
一,澂
一,鑒
一,弌
一,丕
一,亟
一,兀
一,兪
一,冉
一,卅
一,卮
一,弖
一,愨
一,戌
一,戛
一,戞
一,搴
一,黴
一,閂
一,蠹
一,寨
一,蹇
一,爰
一,轂
一,騫
一,熏
一,謇
一,襄
一,菫
一,賽
一,辷
一,齒
一,气
一,无
一,亊
一,册
一,惠
一,廾
一,齊
一,兩
一,聽
一,拜
一,歹
一,埀
一,妛
一,尢
一,鬲
一,壽
一,專
一,對
一,巵
一,晉
一,畫
一,睿
一,羮
一,肅
一,與
一,覽
一,貮
一,穀
一,賓
一,德
一,徵
一,囊
一,帀
一,鼉
一,丅
一,丌
一,丄
一,丒
一,㐁
一,两
一,㞢
一,叓
一,亏
一,亐
一,亍
一,髙
一,鮺
一,鯗
一,鰴
一,鶱
一,鷇
一,靣
一,凬
一,鍿
一,镸
一,觳
一,譼
一,䜭
一,賮
一,輺
一,衟
一,縠
一,蕐
一,葘
一,褰
一,㐮
一,瑴
一,甩
一,畐
一,畺
一,益
一,睘
一,糓
一,㦯
一,擥
音,暗
音,意
音,響
音,韻
音,闇
音,韵
音,黯
音,韶
音,諳
音,竟
音,響
音,鶕
音,韴
音,韷
音,韸
音,韺
音,瘖
音,窨
音,愔
音,戠
立,音
立,章
立,童
立,位
立,泣
立,翌
立,端
立,粒
立,辛
立,竜
立,拉
立,竪
立,竣
立,妾
立,靖
立,笠
立,颯
立,苙
立,竍
立,竏
立,竓
立,竕
立,竚
立,站
立,竡
立,竢
立,竦
立,竭
立,竰
立,翊
立,龍
立,竝
立,柆
立,鴗
立,䬃
立,鉝
立,霠
立,竩
立,砬
立,竌
立,竎
立,竑
立,竘
立,竛
立,竧
立,竫
立,竨
立,竬
立,竱
立,竴
立,攱
立,昱
日,音
日,早
日,時
日,春
日,書
日,星
日,晴
日,電
日,明
日,曜
日,暗
日,者
日,昔
日,暑
日,昭
日,果
日,景
日,最
日,昨
日,単
日,易
日,旧
日,暴
日,映
日,専
日,暖
日,晩
日,暮
日,暇
日,恵
日,更
日,香
日,旨
日,旬
日,是
日,替
日,曇
日,普
日,冒
日,暦
日,掲
日,暫
日,晶
日,昇
日,謁
日,喝
日,渇
日,褐
日,暁
日,昆
日,縄
日,挿
日,曹
日,竜
日,曖
日,旺
日,亀
日,隙
日,曽
日,旦
日,昧
日,晦
日,旭
日,昂
日,晃
日,昏
日,晒
日,曙
日,昌
日,晋
日,竃
日,智
日,沓
日,曝
日,蝿
日,魯
日,勗
日,搨
日,旱
日,杲
日,昊
日,昃
日,晟
日,晁
日,晏
日,昴
日,昶
日,昵
日,杳
日,旻
日,晞
日,晤
日,晧
日,晨
日,晢
日,晰
日,暈
日,暉
日,曩
日,曦
日,曠
日,昿
日,曚
日,曄
日,暾
日,暹
日,暝
日,暘
日,暄
日,榻
日,曷
日,曾
日,曼
日,汨
日,衵
日,耆
日,曉
日,暸
日,亰
日,會
日,單
日,惠
日,專
日,晄
日,晉
日,暃
日,暎
日,暼
日,暑
日,晚
日,曆
日,晳
日,晣
日,馹
日,亯
日,䵒
日,鰨
日,凬
日,鈤
日,闒
日,阳
日,䛕
日,蹋
日,遢
日,㬰
日,䑽
日,茰
日,虩
日,蠺
日,旳
日,晥
日,暭
日,暤
日,昷
日,抇
日,㫖
日,旰
日,旴
日,旲
日,旵
日,昀
日,昖
日,㫟
日,昕
日,昑
日,昍
日,昈
日,旿
日,昻
日,昦
日,昒
日,㫚
日,昬
日,曻
日,昄
日,旼
日,昉
日,昘
日,昹
日,昱
日,昫
日,昡
日,昝
日,昰
日,旾
日,昮
日,昚
日,昣
日,甠
日,㫤
日,昳
日,昩
日,昲
日,昺
日,昞
日,昪
日,昢
日,昤
日,晐
日,晈
日,晑
日,晆
日,晅
日,晎
日,时
日,旹
日,晊
日,晌
日,㬜
日,晠
日,晀
日,晗
日,晘
日,晛
日,晜
日,晙
日,晡
日,㫰
日,晻
日,晹
日,晼
日,暀
日,晷
日,晵
日,晬
日,晭
日,晿
日,暒
日,晱
日,晫
雨,雲
雨,雪
雨,電
雨,需
雨,震
雨,霧
雨,雷
