Id,Level,Reading_On,Reading_Kun,Strokes
一,10,"['イチ', 'イツ']","['ひと', 'ひと（つ）', 'はじ（め）']",1
音,10,"['オン', 'イン']","['おと', 'ね', 'たよ（り）']",9
立,10,"['リツ', 'リュウ']","['た（つ）', 'た（てる）', 'リットル']",5
日,10,"['ジツ', 'ニチ']","['か', 'ひ']",4
雨,10,['ウ'],"['あま', 'あめ']",8
円,10,['エン'],"['まる（い）', 'つぶら（か）', 'まど（か）', 'まろ（やか）']",4
王,10,['オウ'],['きみ'],4
火,10,"['カ', 'コ']","['ひ', 'ほ']",4
花,10,"['カ', 'ケ']",['はな'],7
艹,-1,[],[],3
化,8,"['カ', 'ケ']","['ば（かす）', 'ば（ける）', 'か（える）', 'か（わる）']",4
貝,10,['バイ'],['かい'],7
学,10,['ガク'],['まな（ぶ）'],8
⺍,-1,,,-1
冖,-1,"['ベキ', 'ミャク']",[],2
子,10,"['シ', 'ス']","['こ', 'おとこ', 'ね', 'み']",3
休,10,"['キュウ', 'ク']","['やす（まる）', 'やす（む）', 'やす（める）', 'いこ（う）', 'さいわ（い）', 'や（める）', 'よ（い）']",6
亻,-1,,,-1
木,10,"['ボク', 'モク']","['き', 'こ']",4
九,10,"['キュウ', 'ク']","['ここの', 'ここの（つ）', 'あまた']",2
玉,10,"['ギョク', 'ゴク']",['たま'],5
丶,-1,['チュ'],['てん'],1
空,10,['クウ'],"['あ（く）', 'あ（ける）', 'から', 'そら', 'あな', 'うつ（ける）', 'うつ（ろ）', 'うろ', 'す（く）', 'むな（しい）']",8
穴,5,['ケツ'],['あな'],5
工,9,"['ク', 'コウ']","['たくみ', 'たく（む）', 'わざ']",3
気,10,"['キ', 'ケ']",['いき'],6
气,-1,"['キ', 'キツ', 'ケ', 'コツ']",['いき'],4
㐅,-1,,,-1
下,10,"['カ', 'ゲ']","['お（りる）', 'お（ろす）', 'くだ（さる）', 'くだ（す）', 'くだ（る）', 'さ（がる）', 'さ（げる）', 'した', 'しも', 'もと']",3
月,10,"['ガツ', 'ゲツ']",['つき'],4
見,10,"['ケン', 'ゲン']","['み（える）', 'み（せる）', 'み（る）', 'あらわ（す）', 'あらわ（れる）', 'まみ（える）']",7
犬,10,['ケン'],['いぬ'],4
五,10,['ゴ'],"['いつ', 'いつ（つ）']",4
口,10,"['ク', 'コウ']",['くち'],3
校,10,"['コウ', 'キョウ']","['あぜ', 'かせ', 'かんが（える）', 'くら（べる）']",10
交,9,['コウ'],"['ま（ざる）', 'まじ（える）', 'ま（じる）', 'まじ（わる）', 'ま（ぜる）', 'か（う）', 'か（わす）', 'こもごも']",6
金,10,"['キン', 'コン']","['かな', 'かね', 'こがね']",8
左,10,['サ'],['ひだり'],5
丿,-1,"['ヘチ', 'ヘツ']",[],1
三,10,['サン'],"['み', 'み（つ）', 'みっ（つ）']",3
山,10,"['サン', 'セン']",['やま'],3
四,10,['シ'],"['よ', 'よ（つ）', 'よっ（つ）', 'よん']",5
囗,-1,"['イ', 'コク']",['くに'],3
儿,-1,"['ジン', 'ニン']",[],2
糸,10,"['シ', 'ベキ']",['いと'],6
幺,1,['ヨウ'],"['おさな（い）', 'ちい（さい）']",3
小,10,['ショウ'],"['お', 'こ', 'ちい（さい）', 'さ']",3
字,10,"['ジ', 'シ']","['あざ', 'あざな']",6
宀,-1,['ベン'],[],3
耳,10,"['ジ', 'ニ']","['みみ', 'のみ']",6
七,10,"['シチ', 'シツ']","['なな', 'なな（つ）', 'なの']",2
車,10,['シャ'],['くるま'],7
手,10,"['シュ', 'ズ']","['て', 'た']",4
十,10,"['ジッ', 'ジュウ', 'ジュッ']","['と', 'とお']",2
出,10,"['シュツ', 'スイ']","['だ（す）', 'で（る）', 'いだ（す）', 'い（づ）']",5
女,10,"['ジョ', 'ニョ', 'ニョウ']","['おんな', 'め', 'なんじ', 'むすめ', 'めあ（わせる）']",3
正,10,"['ショウ', 'セイ']","['ただ（しい）', 'ただ（す）', 'まさ']",5
止,9,['シ'],"['と（まる）', 'と（める）', 'さ（す）', 'とど（まる）', 'とど（める）', 'や（む）', 'や（める）', 'よ（す）']",4
